data/control.2/000.gpr			data/control.2/030.gpr			data/control.2/060.gpr			data/control.2/180.gpr			
YCR013C	YCR013C	0.0	MATALPHA2	YCR039C	-0.291814555999	AIM6	YDL237W	-0.0678258906648	AAD4	YDL243C	-0.0683385281501
YCR015C	YCR015C	0.0	YPD1	YDL235C	-0.181814555999	ADY3	YDL239C	0.0741741093352	SNQ2	YDR011W	-0.28033852815
CWH43	YCR017C	0.0	ADY3	YDL239C	-0.0738145559989	YDL241W	YDL241W	-0.292825890665	PSF1	YDR013W	-0.0543385281501
YCR018C-A	YCR018C-A	0.0	AAD4	YDL243C	-0.207814555999	AAD4	YDL243C	-0.155825890665	KCS1	YDR017C	0.00966147184993
RIM1	YCR028C-A	0.0	HXT15	YDL245C	-0.279814555999	SNQ2	YDR011W	-0.316825890665	GCV1	YDR019C	-0.92733852815
RPS14A	YCR031C	0.0	SNQ2	YDR011W	0.253185444001	PSF1	YDR013W	0.0781741093352	YDR034C-D	YDR034C-D	-0.51733852815
SNT1	YCR033W	0.0	PSF1	YDR013W	0.0461854440011	KCS1	YDR017C	-0.259825890665	ARO3	YDR035W	-0.24833852815
RRP43	YCR035C	0.0	KCS1	YDR017C	0.0331854440011	GCV1	YDR019C	-0.437825890665	KRS1	YDR037W	-0.63133852815
PHO87	YCR037C	0.0	GCV1	YDR019C	-0.168814555999	YDR034C-D	YDR034C-D	-0.294825890665	PST1	YDR055W	0.30366147185
MATALPHA2	YCR039C	0.0	FAL1	YDR021W	-0.170814555999	ARO3	YDR035W	-0.250825890665	YOS9	YDR057W	-0.25433852815
YPD1	YDL235C	0.0	YDR034C-D	YDR034C-D	0.0721854440011	KRS1	YDR037W	-0.904825890665	UBC5	YDR059C	0.76866147185
AIM6	YDL237W	0.0	ARO3	YDR035W	0.0141854440011	ENA2	YDR039C	-0.614825890665	YDR061W	YDR061W	-0.14233852815
ADY3	YDL239C	0.0	KRS1	YDR037W	-0.514814555999	PST1	YDR055W	-0.488825890665	AIM7	YDR063W	0.13666147185
YDL241W	YDL241W	0.0	ENA2	YDR039C	-0.127814555999	YOS9	YDR057W	-0.355825890665	YDR352W	YDR352W	-0.56733852815
AAD4	YDL243C	0.0	RSM10	YDR041W	-0.217814555999	UBC5	YDR059C	-0.111825890665	TRP4	YDR354W	-0.56333852815
HXT15	YDL245C	0.0	PST1	YDR055W	-0.0898145559989	YDR061W	YDR061W	-0.494825890665	SPC110	YDR356W	-0.40033852815
SNQ2	YDR011W	0.0	YOS9	YDR057W	-0.135814555999	AIM7	YDR063W	0.0271741093352	TFC6	YDR362C	0.0186614718499
PSF1	YDR013W	0.0	UBC5	YDR059C	-0.0908145559989	RRG1	YDR065W	-0.114825890665	FRQ1	YDR373W	0.38366147185
KCS1	YDR017C	0.0	YDR061W	YDR061W	-0.335814555999	YDR352W	YDR352W	-0.498825890665	BCS1	YDR375C	0.0516614718499
GCV1	YDR019C	0.0	AIM7	YDR063W	-0.0198145559989	TRP4	YDR354W	-0.496825890665	ATP17	YDR377W	0.70566147185
FAL1	YDR021W	0.0	RRG1	YDR065W	-0.184814555999	SPC110	YDR356W	-0.641825890665	RGA2	YDR379W	0.45766147185
YDR034C-A	YDR034C-A	0.0	YDR352W	YDR352W	-0.203814555999	GGA1	YDR358W	0.599174109335	YRA1	YDR381W	0.0946614718499
YDR034C-D	YDR034C-D	0.0	TRP4	YDR354W	-0.231814555999	TFC6	YDR362C	0.0901741093352	NKP1	YDR383C	0.27966147185
ARO3	YDR035W	0.0	SPC110	YDR356W	-0.185814555999	BCS1	YDR375C	-0.494825890665	NCB2	YDR397C	0.0676614718499
KRS1	YDR037W	0.0	GGA1	YDR358W	0.269185444001	ATP17	YDR377W	-0.0688258906648	HPT1	YDR399W	-0.57333852815
ENA2	YDR039C	0.0	TFC6	YDR362C	0.0671854440011	YRA1	YDR381W	0.105174109335	MRP20	YDR405W	-0.0163385281501
RSM10	YDR041W	0.0	BCS1	YDR375C	-0.440814555999	NKP1	YDR383C	-0.478825890665	TRS120	YDR407C	-0.0353385281501
PST1	YDR055W	0.0	ATP17	YDR377W	0.100185444001	NCB2	YDR397C	-0.299825890665	CAD1	YDR423C	-0.22533852815
YOS9	YDR057W	0.0	RGA2	YDR379W	0.304185444001	HPT1	YDR399W	-0.755825890665	RPN9	YDR427W	-0.0703385281501
UBC5	YDR059C	0.0	YRA1	YDR381W	0.0621854440011	MRP20	YDR405W	-0.203825890665	TIF35	YDR429C	-0.34733852815
YDR061W	YDR061W	0.0	NKP1	YDR383C	0.221185444001	TRS120	YDR407C	-0.397825890665	PUP3	YER094C	0.51966147185
AIM7	YDR063W	0.0	NCB2	YDR397C	-0.205814555999	ARO80	YDR421W	-0.736825890665	UBC6	YER100W	0.44666147185
RRG1	YDR065W	0.0	HPT1	YDR399W	-0.429814555999	CAD1	YDR423C	-0.170825890665	RPS8B	YER102W	-0.21633852815
YDR352W	YDR352W	0.0	YDR401W	YDR401W	-0.430814555999	SNX41	YDR425W	-0.0458258906648	RTT105	YER104W	-0.11133852815
TRP4	YDR354W	0.0	DIT1	YDR403W	-0.428814555999	RPN9	YDR427W	0.0741741093352	AVT6	YER119C	0.0826614718499
SPC110	YDR356W	0.0	MRP20	YDR405W	-0.0408145559989	TIF35	YDR429C	0.134174109335	SCS2	YER120W	0.64466147185
GGA1	YDR358W	0.0	TRS120	YDR407C	0.146185444001	PUP3	YER094C	0.0501741093352	DSE1	YER124C	-0.40933852815
TFC6	YDR362C	0.0	ARO80	YDR421W	-0.0048145559989	UBP9	YER098W	0.122174109335	NSA2	YER126C	-0.72433852815
FRQ1	YDR373W	0.0	CAD1	YDR423C	-0.0888145559989	RPS8B	YER102W	-0.478825890665	UBP5	YER144C	0.0966614718499
BCS1	YDR375C	0.0	SNX41	YDR425W	-0.0038145559989	RTT105	YER104W	-0.516825890665	SPT15	YER148W	-0.31133852815
ATP17	YDR377W	0.0	RPN9	YDR427W	0.0041854440011	AVT6	YER119C	-0.737825890665	SPI1	YER150W	0.91166147185
RGA2	YDR379W	0.0	TIF35	YDR429C	-0.198814555999	SCS2	YER120W	-0.0328258906648	PAB1	YER165W	-0.15933852815
YRA1	YDR381W	0.0	PUP3	YER094C	0.135185444001	DSE1	YER124C	-0.525825890665	BCK2	YER167W	-0.0663385281501
NKP1	YDR383C	0.0	SHC1	YER096W	-0.0128145559989	NSA2	YER126C	-0.686825890665	RPH1	YER169W	-0.30033852815
NCB2	YDR397C	0.0	UBP9	YER098W	0.0741854440011	YER128W	YER128W	-0.584825890665	RAD3	YER171W	-0.41733852815
HPT1	YDR399W	0.0	RPS8B	YER102W	-0.154814555999	YER140W	YER140W	-1.12682589066	RAD24	YER173W	-0.44133852815
YDR401W	YDR401W	0.0	RTT105	YER104W	-0.0658145559989	MAG1	YER142C	-0.0608258906648	INO80	YGL150C	-0.00233852815007
DIT1	YDR403W	0.0	AVT6	YER119C	-0.104814555999	SPT15	YER148W	-0.637825890665	LYS5	YGL154C	0.26766147185
MRP20	YDR405W	0.0	SCS2	YER120W	0.423185444001	YER163C	YER163C	0.479174109335	AMS1	YGL156W	0.15466147185
TRS120	YDR407C	0.0	GLO3	YER122C	-0.0218145559989	PAB1	YER165W	-0.379825890665	AIM14	YGL160W	0.18766147185
ARO80	YDR421W	0.0	DSE1	YER124C	-0.146814555999	BCK2	YER167W	-0.114825890665	MPT5	YGL178W	0.23366147185
CAD1	YDR423C	0.0	YER140W	YER140W	-0.417814555999	RAD3	YER171W	-0.671825890665	ATG1	YGL180W	-0.16533852815
SNX41	YDR425W	0.0	MAG1	YER142C	-0.0188145559989	INO80	YGL150C	-0.414825890665	STR3	YGL184C	-1.00633852815
RPN9	YDR427W	0.0	UBP5	YER144C	0.0171854440011	LYS5	YGL154C	-0.0038258906648	YIP4	YGL198W	0.34366147185
TIF35	YDR429C	0.0	SPT15	YER148W	-0.260814555999	AIM14	YGL160W	-0.546825890665	EMP24	YGL200C	0.93066147185
YDR431W	YDR431W	0.0	SPI1	YER150W	0.336185444001	YGL176C	YGL176C	-0.418825890665	ARO8	YGL202W	-0.11733852815
PUP3	YER094C	0.0	YER163C	YER163C	0.466185444001	ATG1	YGL180W	-0.696825890665	YGL204C	YGL204C	-0.37133852815
SHC1	YER096W	0.0	PAB1	YER165W	-0.205814555999	STR3	YGL184C	-1.63382589066	CHC1	YGL206C	-0.0573385281501
UBP9	YER098W	0.0	BCK2	YER167W	-0.130814555999	YIP4	YGL198W	0.135174109335	SIP2	YGL208W	0.0116614718499
UBC6	YER100W	0.0	RPH1	YER169W	-0.0478145559989	EMP24	YGL200C	0.410174109335	OST5	YGL226C-A	0.0576614718499
RPS8B	YER102W	0.0	RAD24	YER173W	-0.215814555999	ARO8	YGL202W	-0.382825890665	VID30	YGL227W	0.0466614718499
RTT105	YER104W	0.0	INO80	YGL150C	0.189185444001	CHC1	YGL206C	-0.0808258906648	EMC4	YGL231C	0.55866147185
