data/D/000.gpr			data/D/030.gpr			data/D/060.gpr			data/D/180.gpr			
UBP13	YBL067C	0.0	UBP13	YBL067C	0.597790986752	UBP13	YBL067C	0.154151101397	UBP13	YBL067C	0.329562826264
YBL073W	YBL073W	0.0	AST1	YBL069W	0.342790986752	AST1	YBL069W	0.436151101397	AST1	YBL069W	0.764562826264
SSA3	YBL075C	0.0	SSA3	YBL075C	5.05679098675	YBL073W	YBL073W	1.2281511014	YBL073W	YBL073W	1.64056282626
MAP2	YBL091C	0.0	YBL077W	YBL077W	2.31479098675	SSA3	YBL075C	6.3901511014	SSA3	YBL075C	5.96956282626
RPL32	YBL092W	0.0	MAP2	YBL091C	0.511790986752	YBL077W	YBL077W	3.5461511014	MAP2	YBL091C	0.405562826264
YBL094C	YBL094C	0.0	RPL32	YBL092W	-1.27220901325	MAP2	YBL091C	0.569151101397	RPL32	YBL092W	-2.25543717374
YBL096C	YBL096C	0.0	YBL094C	YBL094C	-0.965209013248	RPL32	YBL092W	-2.7528488986	YBL112C	YBL112C	0.149562826264
BNA4	YBL098W	0.0	YBL096C	YBL096C	-0.0282090132479	YBL094C	YBL094C	-1.6388488986	NTH2	YBR001C	0.00756282626423
YBL100C	YBL100C	0.0	BNA4	YBL098W	0.163790986752	YBL096C	YBL096C	0.287151101397	COQ1	YBR003W	0.720562826264
YBL112C	YBL112C	0.0	YBL100C	YBL100C	-0.107209013248	BNA4	YBL098W	-0.0918488986031	RCR1	YBR005W	2.24756282626
NTH2	YBR001C	0.0	YBL112C	YBL112C	-0.682209013248	YBL112C	YBL112C	0.147151101397	DSF2	YBR007C	0.474562826264
COQ1	YBR003W	0.0	NTH2	YBR001C	-0.0782090132479	NTH2	YBR001C	0.538151101397	HHF1	YBR009C	-1.75443717374
RCR1	YBR005W	0.0	COQ1	YBR003W	0.493790986752	COQ1	YBR003W	1.2971511014	CHS3	YBR023C	0.268562826264
