data/A+E/000.gpr			data/A+E/030.gpr			data/A+E/060.gpr			data/A+E/180.gpr			
UBP13	YBL067C	0.0	UBP13	YBL067C	-0.861398096243	UBP13	YBL067C	-0.056787259617	UBP13	YBL067C	0.676498450312
AST1	YBL069W	0.0	AST1	YBL069W	-0.618398096243	AST1	YBL069W	-0.142787259617	AST1	YBL069W	0.810498450312
YBL073W	YBL073W	0.0	YBL073W	YBL073W	-0.166398096243	YBL073W	YBL073W	0.553212740383	YBL073W	YBL073W	1.09649845031
SSA3	YBL075C	0.0	SSA3	YBL075C	0.939601903757	SSA3	YBL075C	1.20421274038	SSA3	YBL075C	2.63249845031
MAP2	YBL091C	0.0	MAP2	YBL091C	-0.0973980962426	MAP2	YBL091C	0.519212740383	MAP2	YBL091C	0.600498450312
RPL32	YBL092W	0.0	RPL32	YBL092W	-2.08539809624	RPL32	YBL092W	-2.72478725962	RPL32	YBL092W	-2.41350154969
YBL094C	YBL094C	0.0	YBL094C	YBL094C	-2.19439809624	BNA4	YBL098W	-0.091787259617	YBL094C	YBL094C	-1.77850154969
YBL096C	YBL096C	0.0	BNA4	YBL098W	-0.496398096243	YBL100C	YBL100C	-0.000787259616953	YBL096C	YBL096C	0.848498450312
BNA4	YBL098W	0.0	YBL100C	YBL100C	0.0186019037574	YBL112C	YBL112C	0.113212740383	BNA4	YBL098W	1.61249845031
YBL100C	YBL100C	0.0	YBL112C	YBL112C	-0.858398096243	NTH2	YBR001C	-1.44578725962	YBL100C	YBL100C	0.480498450312
YBL112C	YBL112C	0.0	NTH2	YBR001C	-1.50139809624	COQ1	YBR003W	0.550212740383	YBL112C	YBL112C	0.933498450312
NTH2	YBR001C	0.0	COQ1	YBR003W	0.134601903757	RCR1	YBR005W	0.138212740383	NTH2	YBR001C	-0.0615015496876
COQ1	YBR003W	0.0	RCR1	YBR005W	-1.15039809624	DSF2	YBR007C	1.33821274038	COQ1	YBR003W	1.84549845031
RCR1	YBR005W	0.0	DSF2	YBR007C	0.884601903757	HHF1	YBR009C	-0.558787259617	RCR1	YBR005W	2.09549845031
DSF2	YBR007C	0.0	HHF1	YBR009C	0.0276019037574	FUR4	YBR021W	-0.467787259617	DSF2	YBR007C	1.58849845031
HHF1	YBR009C	0.0	FUR4	YBR021W	-0.224398096243	CHS3	YBR023C	-0.492787259617	HHF1	YBR009C	-1.80850154969
FUR4	YBR021W	0.0	CHS3	YBR023C	-1.15739809624	OLA1	YBR025C	-0.139787259617	FUR4	YBR021W	-0.866501549688
CHS3	YBR023C	0.0	OLA1	YBR025C	0.108601903757	YBR027C	YBR027C	0.530212740383	CHS3	YBR023C	0.373498450312
OLA1	YBR025C	0.0	YBR027C	YBR027C	-0.477398096243	CDS1	YBR029C	-1.10678725962	OLA1	YBR025C	-0.614501549688
YBR027C	YBR027C	0.0	CDS1	YBR029C	-1.70539809624	RPL4A	YBR031W	-1.35678725962	YBR027C	YBR027C	0.802498450312
CDS1	YBR029C	0.0	RPL4A	YBR031W	-1.89939809624	RRP7	YCL031C	0.214212740383	CDS1	YBR029C	-1.62850154969
RPL4A	YBR031W	0.0	RRP7	YCL031C	-0.469398096243	MXR2	YCL033C	0.713212740383	RPL4A	YBR031W	-1.19850154969
RRP7	YCL031C	0.0	MXR2	YCL033C	-0.232398096243	GRX1	YCL035C	0.837212740383	RRP7	YCL031C	0.705498450312
MXR2	YCL033C	0.0	GRX1	YCL035C	-0.558398096243	SRO9	YCL037C	-1.14578725962	MXR2	YCL033C	2.09649845031
GRX1	YCL035C	0.0	SRO9	YCL037C	-1.34639809624	GID7	YCL039W	0.712212740383	GRX1	YCL035C	1.33949845031
SRO9	YCL037C	0.0	GID7	YCL039W	-0.364398096243	YCL056C	YCL056C	0.172212740383	SRO9	YCL037C	-1.24850154969
YCL056C	YCL056C	0.0	YCL056C	YCL056C	-0.741398096243	CHA1	YCL064C	3.10921274038	GID7	YCL039W	2.06349845031
MRC1	YCL061C	0.0	CHA1	YCL064C	2.71160190376	HMLALPHA1	YCL066W	1.28521274038	YCL041C	YCL041C	1.43849845031
CHA1	YCL064C	0.0	HMLALPHA1	YCL066W	0.778601903757	RVS161	YCR009C	1.90621274038	YCL056C	YCL056C	1.49049845031
HMLALPHA1	YCL066W	0.0	RVS161	YCR009C	0.987601903757	ADP1	YCR011C	2.00921274038	FYV5	YCL058C	1.06449845031
RVS161	YCR009C	0.0	ADP1	YCR011C	1.45360190376	YCR018C-A	YCR018C-A	1.16021274038	MRC1	YCL061C	0.181498450312
ADP1	YCR011C	0.0	YCR013C	YCR013C	0.592601903757	RIM1	YCR028C-A	0.654212740383	CHA1	YCL064C	1.87649845031
YCR013C	YCR013C	0.0	YCR015C	YCR015C	0.129601903757	RPS14A	YCR031C	-2.27178725962	HMLALPHA1	YCL066W	1.49749845031
YCR015C	YCR015C	0.0	YCR018C-A	YCR018C-A	0.372601903757	SNT1	YCR033W	-0.434787259617	YCL068C	YCL068C	1.71349845031
CWH43	YCR017C	0.0	RIM1	YCR028C-A	-0.504398096243	RRP43	YCR035C	-0.041787259617	RVS161	YCR009C	2.16449845031
YCR018C-A	YCR018C-A	0.0	RPS14A	YCR031C	-2.18339809624	PHO87	YCR037C	0.362212740383	ADP1	YCR011C	2.17749845031
RIM1	YCR028C-A	0.0	SNT1	YCR033W	-1.07939809624	MATALPHA2	YCR039C	1.51521274038	YCR013C	YCR013C	1.67849845031
RPS14A	YCR031C	0.0	RRP43	YCR035C	-0.770398096243	YPD1	YDL235C	1.79821274038	YCR015C	YCR015C	1.31249845031
