ID	Name	t0	t30	pval
YER150W	SPI1	0	6.02943454374	0.000128617363344051
YIL117C	PRM5	0	2.90743454374	0.000128617363344051
YML128C	MSC1	0	4.24143454374	0.000128617363344051
YNL007C	SIS1	0	4.70543454374	0.000128617363344051
YNL009W	IDP3	0	3.21743454374	0.000128617363344051
YHR096C	HXT5	0	3.07643454374	0.000128617363344051
YLR438W	CAR2	0	5.48343454374	0.000128617363344051
YNL194C	YNL194C	0	4.78043454374	0.000128617363344051
YOR162C	YRR1	0	3.04143454374	0.000128617363344051
YFR053C	HXK1	0	4.55143454374	0.000128617363344051
YGR088W	CTT1	0	2.77343454374	0.000128617363344051
YOR007C	SGT2	0	3.00143454374	0.000128617363344051
YOR020C	HSP10	0	2.98843454374	0.000128617363344051
YOR382W	FIT2	0	3.74143454374	0.000128617363344051
YFL016C	MDJ1	0	4.11243454374	0.000128617363344051
YGR008C	STF2	0	2.85743454374	0.000128617363344051
YOL081W	IRA2	0	2.86143454374	0.000128617363344051
YOR298C-A	MBF1	0	3.76943454374	0.000128617363344051
YOR299W	BUD7	0	3.73943454374	0.000128617363344051
YOR301W	RAX1	0	2.77643454374	0.000128617363344051
YDL145C	COP1	0	3.21843454374	0.000128617363344051
YGR211W	ZPR1	0	3.94843454374	0.000128617363344051
YFL027C	GYP8	0	3.15043454374	0.000128617363344051
YLR327C	TMA10	0	2.94843454374	0.000128617363344051
YBR214W	SDS24	0	2.56243454374	0.000257234726688103
YOL151W	GRE2	0	2.66143454374	0.000257234726688103
YOL032W	OPI10	0	2.64343454374	0.000257234726688103
YBR053C	YBR053C	0	2.65543454374	0.000257234726688103
YLR367W	RPS22B	0	-2.60556545626	0.000257234726688103
YER035W	EDC2	0	2.55643454374	0.000257234726688103
YER037W	PHM8	0	2.69743454374	0.000257234726688103
YCR039C	MATALPHA2	0	2.09543454374	0.000385852090032154
YDR011W	SNQ2	0	2.09443454374	0.000385852090032154
YHL033C	RPL8A	0	-2.31656545626	0.000385852090032154
YAL061W	BDH2	0	2.50843454374	0.000385852090032154
YGL030W	RPL30	0	-2.29156545626	0.000385852090032154
YLR034C	SMF3	0	2.17643454374	0.000385852090032154
YLR061W	RPL22A	0	-2.23756545626	0.000385852090032154
YOL153C	YOL153C	0	2.45043454374	0.000385852090032154
YOR012W	YOR012W	0	2.26343454374	0.000385852090032154
YGR137W	YGR137W	0	2.32543454374	0.000385852090032154
YHR140W	YHR140W	0	2.08343454374	0.000385852090032154
YNL178W	RPS3	0	-2.46856545626	0.000385852090032154
YOR374W	ALD4	0	2.31743454374	0.000385852090032154
YPL004C	LSP1	0	2.48643454374	0.000385852090032154
YBR055C	PRP6	0	2.40643454374	0.000385852090032154
YCR062W	YCR062W	0	2.45543454374	0.000385852090032154
YDL022W	GPD1	0	2.47043454374	0.000385852090032154
YDR157W	YDR157W	0	2.32943454374	0.000385852090032154
YHR030C	SLT2	0	2.15343454374	0.000385852090032154
